product_name,review_count,review_rating,skin_type,review_text,url
모공탄력 부스터샷세럼 45 ml,133,5,지성,"전에 코를 누르며누피지가 쭈욱 나왔는데...요거 꾸준히 썼어요 ㅎ아무생각없이 썼는데 습관처럼 코 피지를 짜내려고 하는데 헐,,,,나오질 않아요 ㅎㅎ모공이 조여진 느낌? 화장을 해도 오후가 되면 모공이 너무나 입체적으로 드러났는데 그것도 사라짐요 ㅎ 자극은 있어요 ~따끔따끔 ㅎ 근데 전혀 안쓸 이유가 없네요 ㅎ 크림도 묽은데...바를땐 매트하게 마무리되서 지성인 저도 번들거리지 않아 좋아요 ㅎ 촉촉함은 중간정도?다 바르고 저는 다이소 스킨이나 미스트 뿌려주니 촉촉함도 유지되더라구요 ㅎ 보이면 쟁이세요 ㅎ모공러들 ㅎㅎ",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,지성,세로모공이 고민이신분들한테는 추천이예요!! 처음에는 자극이 있지만 나중에는 괜찮아요!,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,건성,피부탄력과 보습효과에 도움이 되었습니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
광채탄력 아이볼세럼 15 ml,116,4,중성,이 제품을 2개 사가지고 양손에 쥐고 눈에 동시에 롤링을 하면은 괄 사 마사지를 한 것 같은 효과를 발휘 할 거라 생각을 했고 그래서 구매했고 결과적으로 그런 만족감을 얻고 있습니다. 이 제품 품이 가진 특성 자체는 그렇게 보습력이 뛰어 난다. 어떤 효과나 효능이 바로 보인다 이런 것은 아닙니다. 다만 괄 사 효과를 간접적으로 받을 수 있어서 눈과 쳐진 예방을 위해서 쓰고 있습니다.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,5,건성,다크써클 때문에 사게 되었는데 효과 좀 있어요 사진에도 보다시피 한번 누를 때마다 이 정도 나와요 효과 진짜 좋고 순해서 쓰기 좋아요 냄새가 진짜 좋아요!! 감사합니다!,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,5,,여러분~ 저도 내용물이 아무리 시도해도 나오지 않아 당황했습니다! 롤러볼만으로도 만족스러웠지만 들어 있는 아이크림을 꼭 확인해야 했죠. 손바닥에 대고 이리 저리 볼을 굴려보다 팁 부분을 아래로 향한 채 꾹 눌렀더니 아이크림이 나오더라구요! 제품 순하고 좋습니다!,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,4,건성,아이크림 알아보다가 좋아보여서 하나 사봤어여 가격도괜찮고 성분도 좋은거같아서 써볼려구요 쓰고 좋으면 계속 사용하겠습니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,5,중성,눈밑에 발라주면 시원하고 롤링해주면 마사지도 되고 최고에요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,5,,촉촉하고 볼도 잘 돌아갑니다 눌리면 쭉나오는게아니라 흐를걱정도 없고 자극이없어 아주 좋습니다:),https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
광채탄력 아이볼세럼 15 ml,116,4,건성,친구가 좋다고 해서 구입했는데~ㅎ솔직히 3번정도 사용한 것 같네요~잘 사용하지 않아서 뭐라고 할 수는 없지만 친구는 효과?가 있다고 하네요~,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072807&recmYn=N
